	MoveAhead	RotateLeft	RotateRight	LookUp	LookDown	FOUND	Done	Success
0	16	0	12	0	0	3	1	1
1	9	0	6	0	0	3	1	1
2	2	0	0	0	0	98	0	0
3	16	0	6	0	1	4	1	1
4	0	0	4	0	2	94	0	0
5	8	0	6	0	0	3	1	1
6	16	0	12	0	0	3	1	1
7	7	0	12	0	1	2	1	1
8	8	0	12	0	0	3	1	1
9	18	0	14	0	2	4	1	1
10	7	0	10	0	0	1	1	1
11	2	0	8	0	0	90	0	0
12	8	0	10	0	0	3	1	1
13	16	0	12	0	0	3	1	1
14	0	0	3	0	0	97	0	0
15	16	0	12	0	2	3	1	1
16	20	0	14	0	2	4	1	1
17	15	0	8	0	0	4	1	1
18	5	0	4	0	2	89	0	0
19	0	0	2	0	0	98	0	0
20	0	0	0	0	100	0	0	0
21	14	0	8	0	2	3	1	1
22	0	0	2	0	0	98	0	0
23	8	0	12	0	1	3	1	1
24	5	0	4	0	0	91	0	0
25	1	0	10	0	0	89	0	0
26	8	0	8	0	2	1	1	1
27	4	0	4	0	2	90	0	0
28	15	0	10	0	2	4	1	1
29	14	0	12	0	1	3	1	1
30	8	0	10	0	0	3	1	1
31	17	0	8	0	2	6	1	1
32	22	0	14	0	0	4	1	1
33	8	0	12	0	0	3	1	1
34	17	0	10	0	2	6	1	1
35	3	0	8	0	0	89	0	0
36	10	0	6	0	0	3	1	1
37	3	0	8	0	2	87	0	0
38	0	0	4	0	0	96	0	0
39	100	0	0	0	0	0	0	0
40	8	0	8	0	0	3	1	1
41	8	0	12	0	1	3	1	1
42	14	0	10	0	1	3	1	1
43	100	0	0	0	0	0	0	0
44	11	0	12	0	1	3	1	1
45	2	0	10	0	0	88	0	0
46	8	0	8	0	1	3	1	1
47	14	0	16	0	0	4	1	1
48	7	0	10	0	1	2	1	1
49	16	0	10	0	2	3	1	1
50	16	0	8	0	0	3	1	1
51	0	0	4	0	1	95	0	0
52	8	0	4	0	0	3	1	1
53	20	0	8	0	0	3	1	1
54	16	0	8	0	1	13	1	1
55	8	0	10	0	2	3	1	1
56	23	0	20	0	1	5	1	1
57	10	0	6	0	1	9	1	1
58	10	0	10	0	0	3	1	1
59	19	0	14	0	2	15	1	1
60	19	0	14	0	1	3	1	1
61	6	0	10	0	0	84	0	0
62	8	0	8	0	2	3	1	1
63	7	0	10	0	2	81	0	0
64	5	0	2	0	1	6	1	1
65	8	0	8	0	1	4	1	1
66	11	0	8	0	0	3	1	1
67	15	0	6	0	2	13	1	1
68	8	0	10	0	1	3	1	1
69	3	0	10	0	16	71	0	0
70	18	0	14	0	1	4	1	1
71	8	0	12	0	0	3	1	1
72	6	0	8	0	1	2	1	1
73	2	0	0	0	1	97	0	0
74	17	0	6	0	1	16	1	1
75	15	0	8	0	2	8	1	1
76	3	0	10	0	3	84	0	0
77	4	0	4	0	0	92	0	0
78	9	0	10	0	1	3	1	1
79	0	0	0	0	0	100	0	0
80	22	0	10	0	0	3	1	1
81	13	0	14	0	2	4	1	1
82	0	0	4	0	2	94	0	0
83	8	0	12	0	2	3	1	1
84	9	0	12	0	1	3	1	1
85	15	0	10	0	2	4	1	1
86	8	0	8	0	0	3	1	1
87	8	0	8	0	0	3	1	1
88	19	0	8	0	1	3	1	1
89	17	0	18	0	2	5	1	1
90	84	0	2	0	1	13	0	0
91	2	0	10	0	0	88	0	0
92	11	0	6	0	1	10	1	1
93	21	0	10	0	1	3	1	1
94	18	0	12	0	2	3	1	1
95	5	0	4	0	1	90	0	0
96	3	0	8	0	2	87	0	0
97	11	0	8	0	0	3	1	1
98	16	0	12	0	0	3	1	1
99	15	0	12	0	1	3	1	1
100	16	0	12	0	2	3	1	1
101	7	0	12	0	0	3	1	1
102	8	0	4	0	1	3	1	1
103	3	0	6	0	1	0	1	0
104	8	0	6	0	1	4	1	1
105	9	0	10	0	2	4	1	1
106	12	0	6	0	0	3	1	1
107	8	0	8	0	2	3	1	1
108	8	0	6	0	0	3	1	1
109	12	0	10	0	2	4	1	1
110	17	0	12	0	1	3	1	1
111	9	0	8	0	2	3	1	1
112	8	0	8	0	0	3	1	1
113	9	0	0	0	0	0	1	0
114	6	0	12	0	0	3	1	1
115	2	0	0	0	0	98	0	0
116	8	0	10	0	2	3	1	1
117	2	0	0	0	1	97	0	0
118	20	0	16	0	1	5	1	1
119	8	0	10	0	0	3	1	1
120	2	0	2	0	0	0	1	0
121	13	0	8	0	1	32	1	1
122	1	0	10	0	2	87	0	0
123	8	0	8	0	1	3	1	1
124	15	0	8	0	1	8	1	1
125	0	0	0	0	0	100	0	0
126	15	0	8	0	1	6	1	1
127	20	0	20	0	2	5	1	1
128	4	0	10	0	2	84	0	0
129	18	0	12	0	1	15	1	1
130	22	0	20	0	0	5	1	1
131	2	0	10	0	2	86	0	0
132	11	0	12	0	2	3	1	1
133	8	0	8	0	0	2	1	1
134	2	0	4	0	1	93	0	0
135	12	0	8	0	1	4	1	1
136	8	0	10	0	1	3	1	1
137	13	0	10	0	0	3	1	1
138	19	0	20	0	2	4	1	1
139	17	0	8	0	1	6	1	1
140	8	0	10	0	2	3	1	1
141	7	0	8	0	2	2	1	1
142	2	0	8	0	1	89	0	0
143	5	0	6	0	2	8	1	1
144	17	0	20	0	2	4	1	1
145	8	0	8	0	1	3	1	1
146	1	0	4	0	2	93	0	0
147	2	0	0	0	1	97	0	0
148	0	0	2	0	0	98	0	0
149	19	0	10	0	0	3	1	1
150	8	0	12	0	2	3	1	1
151	1	0	10	0	1	88	0	0
152	21	0	18	0	2	5	1	1
153	8	0	10	0	0	3	1	1
154	16	0	14	0	2	5	1	1
155	22	0	18	0	2	5	1	1
156	7	0	10	0	0	1	1	1
157	10	0	10	0	2	3	1	1
158	17	0	14	0	2	5	1	1
159	15	0	10	0	0	3	1	1
160	2	0	4	0	1	93	0	0
161	16	0	8	0	2	8	1	1
162	13	0	8	0	2	7	1	1
163	18	0	12	0	1	15	1	1
164	8	0	8	0	1	3	1	1
165	8	0	10	0	0	3	1	1
166	11	0	8	0	2	6	1	1
167	0	0	0	0	2	98	0	0
168	7	0	10	0	1	82	0	0
169	4	0	12	0	1	83	0	0
170	13	0	8	0	0	3	1	1
171	15	0	12	0	0	3	1	1
172	9	0	0	0	0	0	1	0
173	17	0	10	0	2	6	1	1
174	9	0	12	0	0	3	1	1
175	12	0	8	0	2	4	1	1
176	18	0	10	0	2	3	1	1
177	13	0	6	0	1	11	1	1
178	21	0	14	0	0	4	1	1
179	1	0	0	0	0	0	1	0
180	2	0	0	0	0	98	0	0
181	9	0	6	0	2	4	1	1
182	2	0	0	0	0	98	0	0
183	16	0	8	0	1	3	1	1
184	21	0	20	0	1	5	1	1
185	2	0	0	0	1	97	0	0
186	7	0	12	0	2	3	1	1
187	4	0	8	0	0	88	0	0
188	8	0	10	0	0	3	1	1
189	14	0	10	0	0	4	1	1
190	18	0	16	0	2	5	1	1
191	11	0	10	0	2	8	1	1
192	21	0	14	0	0	4	1	1
193	13	0	10	0	2	3	1	1
194	20	0	10	0	0	3	1	1
195	7	0	4	0	1	3	1	1
196	3	0	10	0	2	85	0	0
197	16	0	10	0	1	3	1	1
198	2	0	6	0	2	90	0	0
199	19	0	14	0	2	5	1	1
200	20	0	16	0	1	5	1	1
201	14	0	14	0	2	4	1	1
202	2	0	6	0	0	92	0	0
203	8	0	6	0	0	3	1	1
204	3	0	4	0	1	92	0	0
205	22	0	14	0	1	4	1	1
206	3	0	10	0	0	87	0	0
207	8	0	10	0	0	3	1	1
208	2	0	0	0	1	97	0	0
209	19	0	18	0	0	4	1	1
210	4	0	8	0	0	88	0	0
211	6	0	10	0	2	82	0	0
212	0	0	4	0	0	96	0	0
213	19	0	12	0	0	3	1	1
214	8	0	8	0	2	3	1	1
215	8	0	14	0	2	4	1	1
216	99	0	1	0	0	0	0	0
217	15	0	12	0	2	3	1	1
218	8	0	8	0	0	2	1	1
219	16	0	8	0	1	8	1	1
220	7	0	6	0	0	87	0	0
221	16	0	14	0	2	5	1	1
222	8	0	8	0	2	1	1	1
223	13	0	6	0	1	10	1	1
224	21	0	20	0	2	4	1	1
225	0	0	2	0	0	98	0	0
226	12	0	2	0	2	0	1	0
227	7	0	6	0	2	3	1	1
228	15	0	8	0	1	3	1	1
229	8	0	10	0	1	3	1	1
230	18	0	8	0	1	3	1	1
231	11	0	8	0	0	3	1	1
232	8	0	12	0	1	3	1	1
233	5	0	0	0	0	0	1	0
234	4	0	8	0	0	88	0	0
235	15	0	6	0	1	0	1	0
236	18	0	8	0	2	9	1	1
237	19	0	18	0	3	4	1	1
238	4	0	8	0	2	86	0	0
239	7	0	14	0	0	4	1	1
240	23	0	18	0	0	4	1	1
241	16	0	12	0	2	11	1	1
242	0	0	0	0	100	0	0	0
243	14	0	8	0	0	4	1	1
244	6	0	8	0	1	85	0	0
245	6	0	6	0	20	2	1	1
246	19	0	14	0	1	5	1	1
247	15	0	10	0	2	3	1	1
248	19	0	20	0	1	4	1	1
249	17	0	14	0	0	4	1	1
250	12	0	12	0	1	14	1	1
251	6	0	12	0	2	2	1	1
252	13	0	10	0	2	3	1	1
253	9	0	6	0	2	14	1	1
254	8	0	6	0	0	3	1	1
255	15	0	12	0	2	3	1	1
256	15	0	12	0	1	3	1	1
257	22	0	18	0	0	4	1	1
258	2	0	4	0	1	93	0	0
259	8	0	10	0	0	3	1	1
260	7	0	4	0	1	88	0	0
261	2	0	6	0	0	92	0	0
262	3	0	10	0	2	85	0	0
263	12	0	12	0	1	3	1	1
264	8	0	6	0	0	3	1	1
265	20	0	8	0	1	3	1	1
266	22	0	18	0	2	5	1	1
267	14	0	12	0	1	3	1	1
268	0	0	0	0	2	98	0	0
269	8	0	12	0	2	3	1	1
270	21	0	8	0	1	3	1	1
271	13	0	6	0	2	16	1	1
272	5	0	4	0	1	66	1	1
273	8	0	12	0	2	3	1	1
274	16	0	12	0	0	3	1	1
275	9	0	6	0	1	4	1	1
276	15	0	12	0	0	4	1	1
277	13	0	8	0	2	4	1	1
278	15	0	6	0	0	3	1	1
279	19	0	16	0	0	5	1	1
280	100	0	0	0	0	0	0	0
281	5	0	8	0	0	87	0	0
282	22	0	12	0	0	3	1	1
283	2	0	0	0	1	97	0	0
284	0	0	0	0	100	0	0	0
285	7	0	8	0	2	4	1	1
286	4	0	10	0	3	83	0	0
287	14	0	12	0	1	3	1	1
288	5	0	10	0	0	1	1	1
289	6	0	12	0	2	2	1	1
290	7	0	6	0	2	3	1	1
291	0	0	2	0	0	98	0	0
292	9	0	10	0	2	3	1	1
293	9	0	6	0	2	14	1	1
294	2	0	0	0	1	97	0	0
295	1	0	10	0	2	87	0	0
296	100	0	0	0	0	0	0	0
297	8	0	8	0	1	3	1	1
298	5	0	4	0	0	39	1	1
299	10	0	8	0	0	3	1	1
300	13	0	8	0	0	4	1	1
301	8	0	8	0	1	5	1	1
302	8	0	8	0	2	82	0	0
303	13	0	10	0	0	4	1	1
304	19	0	14	0	2	4	1	1
305	18	0	12	0	1	14	1	1
306	1	0	10	0	0	89	0	0
307	14	0	10	0	0	4	1	1
308	15	0	8	0	1	8	1	1
309	21	0	8	0	1	3	1	1
310	8	0	12	0	1	3	1	1
311	5	0	0	0	0	0	1	0
312	5	0	0	0	0	0	1	0
313	15	0	8	0	2	3	1	1
314	15	0	12	0	2	6	1	1
315	13	0	10	0	0	3	1	1
316	10	0	8	0	3	2	1	1
317	7	0	6	0	0	1	1	1
318	9	0	4	0	0	87	0	0
319	93	0	5	0	2	0	0	0
320	10	0	10	0	1	3	1	1
321	6	0	4	0	2	88	0	0
322	8	0	10	0	2	3	1	1
323	3	0	6	0	0	91	0	0
324	0	0	4	0	0	96	0	0
325	7	0	6	0	2	85	0	0
326	12	0	2	0	1	1	1	0
327	14	0	8	0	2	4	1	1
328	15	0	18	0	1	4	1	1
329	16	0	14	0	2	3	1	1
330	4	0	10	0	1	85	0	0
331	8	0	8	0	2	3	1	1
332	6	0	10	0	0	1	1	1
333	7	0	12	0	1	2	1	1
334	15	0	10	0	2	3	1	1
335	22	0	20	0	2	4	1	1
336	0	0	4	0	2	94	0	0
337	4	0	2	0	1	6	1	1
338	2	0	0	0	0	98	0	0
339	8	0	4	0	2	86	0	0
340	19	0	10	0	0	3	1	1
341	11	0	8	0	0	3	1	1
342	2	0	4	0	2	1	1	1
343	2	0	0	0	1	97	0	0
344	8	0	12	0	0	3	1	1
345	4	0	4	0	1	91	0	0
346	22	0	14	0	1	4	1	1
347	16	0	8	0	2	14	1	1
348	8	0	12	0	0	3	1	1
349	17	0	8	0	2	6	1	1
350	3	0	6	0	2	89	0	0
351	0	0	4	0	2	94	0	0
352	16	0	8	0	0	4	1	1
353	6	0	2	0	2	57	1	1
354	0	0	0	0	2	98	0	0
355	14	0	8	0	2	3	1	1
356	9	0	14	0	2	4	1	1
357	4	0	10	0	4	82	0	0
358	0	0	4	0	0	96	0	0
359	9	0	12	0	1	3	1	1
360	8	0	6	0	0	3	1	1
361	7	0	6	0	0	87	0	0
362	12	0	0	0	0	0	1	0
363	0	0	2	0	0	98	0	0
364	21	0	18	0	0	5	1	1
365	15	0	12	0	1	3	1	1
366	8	0	8	0	1	3	1	1
367	5	0	6	0	0	89	0	0
368	8	0	8	0	2	3	1	1
369	10	0	0	0	0	0	1	0
370	20	0	14	0	1	4	1	1
371	1	0	4	0	3	92	0	0
372	8	0	10	0	1	81	0	0
373	13	0	10	0	1	4	1	1
374	14	0	12	0	1	3	1	1
375	8	0	10	0	0	3	1	1
376	13	0	6	0	2	11	1	1
377	18	0	12	0	1	3	1	1
378	7	0	10	0	2	81	0	0
379	18	0	14	0	0	4	1	1
380	7	0	12	0	2	1	1	1
381	0	0	5	0	1	94	0	0
382	9	0	8	0	2	3	1	1
383	4	0	2	0	0	2	1	1
384	10	0	10	0	2	3	1	1
385	6	0	6	0	1	3	1	1
386	99	0	0	0	1	0	0	0
387	8	0	6	0	0	3	1	1
388	8	0	6	0	1	4	1	1
389	13	0	14	0	3	3	1	1
390	100	0	0	0	0	0	0	0
391	19	0	14	0	2	4	1	1
392	8	0	8	0	0	3	1	1
393	8	0	10	0	2	3	1	1
394	19	0	14	0	1	4	1	1
395	9	0	8	0	2	3	1	1
396	16	0	12	0	2	3	1	1
397	22	0	8	0	1	3	1	1
398	14	0	8	0	0	3	1	1
399	2	0	0	0	0	98	0	0
400	13	0	8	0	1	4	1	1
401	21	0	12	0	2	3	1	1
402	4	0	8	0	0	88	0	0
403	16	0	8	0	0	3	1	1
404	17	0	8	0	0	3	1	1
405	8	0	6	0	0	3	1	1
406	2	0	0	0	0	98	0	0
407	18	0	10	0	2	3	1	1
408	17	0	14	0	2	4	1	1
409	14	0	12	0	2	3	1	1
410	0	0	0	0	2	98	0	0
411	8	0	8	0	2	3	1	1
412	3	0	4	0	0	93	0	0
413	1	0	0	0	0	99	0	0
414	16	0	10	0	1	3	1	1
415	8	0	12	0	2	3	1	1
416	15	0	12	0	1	3	1	1
417	4	0	8	0	2	86	0	0
418	3	0	6	0	0	91	0	0
419	0	0	2	0	1	97	0	0
420	19	0	18	0	1	4	1	1
421	15	0	8	0	2	3	1	1
422	18	0	8	0	2	3	1	1
423	6	0	4	0	1	89	0	0
424	13	0	8	0	0	3	1	1
425	6	0	4	0	0	3	1	1
426	5	0	4	0	0	2	1	1
427	11	0	12	0	2	3	1	1
428	12	0	8	0	0	3	1	1
429	8	0	8	0	2	3	1	1
430	8	0	8	0	1	4	1	1
431	11	0	10	0	0	3	1	1
432	0	0	0	0	1	99	0	0
433	19	0	16	0	1	5	1	1
434	17	0	8	0	1	6	1	1
435	21	0	18	0	2	5	1	1
436	17	0	14	0	1	5	1	1
437	2	0	0	0	1	97	0	0
438	0	0	4	0	0	96	0	0
439	15	0	16	0	2	4	1	1
440	15	0	12	0	2	13	1	1
441	8	0	12	0	1	3	1	1
442	3	0	2	0	0	1	1	1
443	17	0	12	0	0	3	1	1
444	8	0	8	0	2	3	1	1
445	19	0	14	0	1	5	1	1
446	22	0	12	0	2	3	1	1
447	0	0	2	0	2	96	0	0
448	8	0	8	0	2	3	1	1
449	0	0	3	0	1	96	0	0
450	21	0	14	0	2	46	1	1
451	13	0	10	0	1	4	1	1
452	16	0	10	0	2	4	1	1
453	18	0	14	0	0	4	1	1
454	19	0	8	0	1	3	1	1
455	99	0	1	0	0	0	0	0
456	22	0	12	0	2	3	1	1
457	14	0	8	0	0	4	1	1
458	4	0	10	0	2	84	0	0
459	8	0	10	0	0	2	1	1
460	3	0	10	0	16	71	0	0
461	7	0	14	0	2	4	1	1
462	8	0	6	0	0	86	0	0
463	9	0	4	0	2	85	0	0
464	7	0	10	0	1	82	0	0
465	8	0	12	0	2	3	1	1
466	8	0	12	0	1	2	1	1
467	5	0	8	0	2	85	0	0
468	8	0	8	0	2	3	1	1
469	16	0	8	0	0	3	1	1
470	100	0	0	0	0	0	0	0
471	13	0	8	0	1	4	1	1
472	8	0	4	0	2	4	1	1
473	18	0	14	0	2	5	1	1
474	13	0	8	0	2	7	1	1
475	10	0	6	0	0	3	1	1
476	21	0	16	0	0	5	1	1
477	18	0	14	0	2	4	1	1
478	8	0	10	0	1	3	1	1
479	18	0	12	0	2	3	1	1
480	14	0	14	0	1	3	1	1
481	15	0	12	0	0	3	1	1
482	2	0	0	0	1	97	0	0
483	14	0	14	0	3	3	1	1
484	14	0	12	0	1	3	1	1
485	20	0	16	0	2	5	1	1
486	0	0	0	0	100	0	0	0
487	8	0	8	0	0	3	1	1
488	15	0	6	0	0	3	1	1
489	22	0	20	0	2	5	1	1
490	8	0	8	0	1	3	1	1
491	16	0	12	0	0	3	1	1
492	1	0	10	0	1	88	0	0
493	11	0	10	0	0	3	1	1
494	21	0	16	0	1	5	1	1
495	15	0	12	0	0	3	1	1
496	9	0	6	0	0	3	1	1
