	MoveAhead	RotateLeft	RotateRight	LookUp	LookDown	FoundTom	FoundBowl	Done	Success
0	15	0	12	0	0	2	1	1	1
1	9	0	6	0	1	1	1	1	1
2	10	0	6	0	1	2	1	1	1
3	12	0	6	0	1	2	1	1	1
4	9	0	6	0	2	1	2	1	1
5	10	0	6	0	0	2	1	1	1
6	28	0	28	0	0	1	3	1	1
7	7	0	12	0	1	2	1	1	1
8	10	0	12	0	0	2	1	1	1
9	17	0	14	0	2	2	1	1	1
10	7	0	10	0	0	2	1	1	1
11	13	0	10	0	0	1	1	1	1
12	10	0	10	0	0	2	1	1	1
13	27	0	28	0	0	1	3	1	1
14	14	0	12	0	1	1	1	1	1
15	17	0	12	0	2	2	1	1	1
16	21	0	14	0	2	2	1	1	1
17	16	0	8	0	0	2	1	1	1
18	16	0	6	0	2	1	1	1	1
19	9	0	4	0	0	1	2	1	1
20	4	0	6	0	1	1	1	1	1
21	15	0	8	0	2	2	1	1	1
22	8	0	4	0	1	2	1	1	1
23	10	0	12	0	1	2	1	1	1
24	16	0	6	0	0	1	1	1	1
25	12	0	12	0	0	1	1	1	1
26	9	0	8	0	2	2	1	1	1
27	15	0	6	0	2	1	1	1	1
28	15	0	10	0	2	2	1	1	1
29	15	0	12	0	1	2	1	1	1
30	10	0	10	0	0	2	1	1	1
31	18	0	8	0	2	1	1	1	1
32	23	0	14	0	0	1	2	1	1
33	10	0	12	0	0	2	1	1	1
34	18	0	10	0	2	1	1	1	1
35	14	0	10	0	0	1	1	1	1
36	12	0	6	0	0	2	1	1	1
37	14	0	10	0	2	1	3	1	1
38	10	0	6	0	0	1	1	1	1
39	13	0	8	0	1	1	1	1	1
40	10	0	8	0	0	2	1	1	1
41	10	0	12	0	1	2	1	1	1
42	15	0	10	0	1	2	1	1	1
43	13	0	8	0	1	1	1	1	1
44	12	0	12	0	1	2	1	1	1
45	13	0	12	0	0	1	1	1	1
46	10	0	8	0	1	2	1	1	1
47	15	0	16	0	0	2	1	1	1
48	7	0	10	0	1	2	1	1	1
49	17	0	10	0	2	2	1	1	1
50	29	0	24	0	0	1	3	1	1
51	6	0	6	0	0	1	1	1	1
52	8	0	4	0	0	1	1	1	1
53	20	0	16	0	0	1	2	1	1
54	16	0	8	0	1	2	1	1	1
55	10	0	10	0	2	2	1	1	1
56	22	0	12	0	1	1	1	1	1
57	10	0	6	0	1	2	1	1	1
58	11	0	10	0	0	2	1	1	1
59	12	0	6	0	2	1	1	1	1
60	100	0	0	0	0	0	0	0	0
61	15	0	12	0	0	1	1	1	1
62	10	0	8	0	2	2	1	1	1
63	16	0	12	0	2	2	2	1	1
64	5	0	2	0	1	1	1	1	1
65	8	0	8	0	1	2	1	1	1
66	12	0	8	0	0	2	1	1	1
67	15	0	6	0	2	2	1	1	1
68	10	0	10	0	1	2	1	1	1
69	14	0	12	0	3	1	1	1	1
70	17	0	14	0	1	2	1	1	1
71	10	0	12	0	0	2	1	1	1
72	2	0	8	0	1	2	1	1	1
73	10	0	6	0	2	2	1	1	1
74	17	0	6	0	1	2	1	1	1
75	9	0	8	0	2	2	1	1	1
76	14	0	12	0	0	1	1	1	1
77	15	0	6	0	0	1	1	1	1
78	10	0	10	0	1	2	1	1	1
79	6	0	2	0	0	1	1	1	1
80	16	0	10	0	0	1	1	1	1
81	12	0	6	0	2	2	1	1	1
82	7	0	6	0	2	1	1	1	1
83	10	0	12	0	2	2	1	1	1
84	11	0	12	0	1	2	1	1	1
85	15	0	10	0	2	2	1	1	1
86	10	0	8	0	0	2	1	1	1
